room,price,district,floor,square
1-к квартира,1799900.0,р-н Орджоникидзевский,7/9 эт.,34.6
2-к квартира,2585000.0,р-н Мотовилихинский,2/5 эт.,43.7
2-к квартира,2800000.0,р-н Кировский,8/25 эт.,44.8
3-к квартира,5500000.0,р-н Мотовилихинский,2/6 эт.,60.0
1-к квартира,2320000.0,р-н Индустриальный,7/9 эт.,31.5
2-к квартира,2700000.0,р-н Индустриальный,2/5 эт.,44.8
3-к квартира,4800000.0,р-н Дзержинский,1/9 эт.,77.4
Квартира-студия,1500000.0,р-н Свердловский,3/5 эт.,17.0
1-к квартира,1799900.0,р-н Орджоникидзевский,7/9 эт.,34.6
2-к квартира,3847005.0,р-н Индустриальный,16/20 эт.,48.3
2-к квартира,4396770.0,р-н Индустриальный,12/16 эт.,58.8
Квартира-студия,1500000.0,р-н Кировский,10/25 эт.,22.0
2-к квартира,3847005.0,р-н Индустриальный,16/20 эт.,48.3
2-к квартира,7000000.0,р-н Дзержинский,15/16 эт.,75.8
3-к квартира,4112401.0,р-н Свердловский,16/17 эт.,65.8
1-к квартира,1721560.0,р-н Мотовилихинский,5/9 эт.,30.9
2-к квартира,4500000.0,р-н Мотовилихинский,13/16 эт.,52.9
2-к квартира,2800000.0,Пермь,8/25 эт.,44.8
1-к квартира,3500000.0,Пермь,4/17 эт.,39.2
1-к квартира,3500000.0,Пермь,11/25 эт.,43.0
Своб. планировка,8780000.0,р-н Ленинский,8/8 эт.,156.2
Квартира-студия,2250000.0,р-н Индустриальный,10/20 эт.,25.9
3-к квартира,8600000.0,р-н Свердловский,19/25 эт.,76.0
2-к квартира,3200000.0,р-н Дзержинский,1/10 эт.,53.5
2-к квартира,2990000.0,р-н Мотовилихинский,1/10 эт.,60.0
1-к квартира,4200000.0,р-н Свердловский,14/17 эт.,40.9
1-к квартира,2800000.0,р-н Дзержинский,14/16 эт.,43.4
Квартира-студия,2800000.0,р-н Индустриальный,8/16 эт.,30.0
3-к квартира,2950000.0,р-н Индустриальный,2/5 эт.,60.5
2-к квартира,3250000.0,р-н Мотовилихинский,3/4 эт.,42.3
2-к квартира,3050000.0,р-н Дзержинский,5/5 эт.,42.0
1-к квартира,1960000.0,р-н Орджоникидзевский,4/17 эт.,40.0
2-к квартира,2200000.0,р-н Свердловский,5/5 эт.,42.0
4-к квартира,13200000.0,р-н Свердловский,4/6 эт.,202.0
1-к квартира,3400000.0,р-н Мотовилихинский,21/25 эт.,49.0
3-к квартира,5030000.0,р-н Дзержинский,2/9 эт.,104.0
